"","VESSEL","HAUL","YEAR","CRUISE","START_TIME","DURATION","DISTANCE_FISHED","NET_WIDTH","STRATUM","START_LATITUDE","END_LATITUDE","START_LONGITUDE","END_LONGITUDE","STATIONID","GEAR_DEPTH","BOTTOM_DEPTH","BOTTOM_TYPE","SURFACE_TEMPERATURE","GEAR_TEMPERATURE","CPUE_NOHA"
"22",1,8,1983,198303,"1983-06-10 06:00:00",0.5,2.871,16.055,10,58.01167,57.9865,-160.85683,-160.86383,"J-12",48,48,0,6.6,3.5,0
"23",1,8,1984,198402,"1984-06-11 12:00:00",0.5,2.741,16.44,10,57.00167,56.9775,-159.71217,-159.71233,"G-14",59,59,0,6.7,3.3,0
"24",1,9,1982,198203,"1982-06-06 06:00:00",0.5,2.593,16.44,10,57.99667,58.01833,-159.605,-159.63167,"J-14",44,44,0,0.9,0,0
"25",1,9,1983,198303,"1983-06-10 10:00:00",0.5,2.889,16.44,31,57.679,57.65367,-160.882,-160.87667,"I-12",59,59,0,6.9,3.6,0
"26",1,9,1984,198402,"1984-06-11 14:00:00",0.5,2.852,16.055,10,56.6865,56.66967,-159.75667,-159.79117,"F-14",38,38,0,6.6,4.8,0
"27",1,10,1982,198203,"1982-06-06 09:00:00",0.5,2.722,15.466,10,58.32167,58.345,-159.54,-159.54833,"K-14",26,26,0,1.1,0.8,0
"28",1,10,1983,198303,"1983-06-10 14:00:00",0.5,2.797,16.44,31,57.34,57.31467,-160.9475,-160.955,"H-12",60,60,0,9.2,3.9,0
"29",1,10,1984,198402,"1984-06-12 06:00:00",0.5,2.871,16.44,10,56.3165,56.34183,-161.00767,-161.0115,"E-12",55,55,0,7.8,3.1,0
"30",1,11,1982,198203,"1982-06-06 14:00:00",0.5,2.704,15.466,10,58.33333,58.33167,-160.72167,-160.76667,"K-12",20,20,0,4.4,4.1,0
"31",1,11,1983,198303,"1983-06-10 16:00:00",0.5,2.908,16.44,31,57.00933,56.98317,-160.95983,-160.95983,"G-12",64,64,0,8.7,3.2,0
"32",1,11,1984,198402,"1984-06-12 09:00:00",0.5,2.648,16.567,31,56.65133,56.67367,-160.9905,-160.98717,"F-12",73,73,0,8.1,3.1,0
"33",1,12,1982,198203,"1982-06-06 17:00:00",0.5,2.759,16.44,10,58.00167,57.98833,-160.85333,-160.89167,"J-12",46,46,0,3.7,1.9,0
"34",1,12,1983,198303,"1983-06-11 06:00:00",0.5,2.722,16.17,31,56.67267,56.64967,-160.98983,-160.99883,"F-12",71,71,0,8.3,3.3,0
"35",1,12,1984,198402,"1984-06-12 12:00:00",0.5,2.759,16.722,31,56.98483,57.00917,-160.9595,-160.9635,"G-12",68,68,0,7.1,1.7,0
"36",1,13,1982,198203,"1982-06-07 06:00:00",0.5,2.926,16.44,31,57.675,57.665,-160.89,-160.93333,"I-12",59,59,0,2.1,0.8,0
"37",1,13,1983,198303,"1983-06-11 10:00:00",0.5,2.871,15.7,10,56.3455,56.32117,-160.99917,-160.998,"E-12",57,57,0,7.9,3.9,0
"38",1,13,1984,198402,"1984-06-12 15:00:00",0.5,2.685,16.722,31,57.3155,57.33867,-160.9455,-160.96333,"H-12",62,62,0,6.8,1.7,0
"39",1,14,1982,198203,"1982-06-07 09:00:00",0.5,2.759,16.567,31,57.345,57.32167,-160.94,-160.92667,"H-12",66,66,0,2.4,0.6,0
"40",1,14,1983,198303,"1983-06-11 15:00:00",0.5,2.685,15.78,31,55.9915,56.00217,-162.259,-162.22117,"D-10",70,70,0,8.4,3,0
"41",1,14,1984,198402,"1984-06-12 17:00:00",0.5,2.852,16.44,31,57.64883,57.67433,-160.89917,-160.90733,"I-12",57,57,0,7.4,2.6,0
"42",1,15,1982,198203,"1982-06-07 12:00:00",0.5,2.685,16.567,31,57.015,56.99167,-160.95167,-160.955,"G-12",66,66,0,3.5,-0.3,0
"43",1,15,1983,198303,"1983-06-11 18:00:00",0.5,2.778,16.47,31,56.34733,56.37067,-162.22317,-162.23517,"E-10",86,86,0,8.4,2.8,0
"44",1,15,1984,198402,"1984-06-13 06:00:00",0.5,2.722,16.44,10,57.98517,58.01183,-160.87133,-160.886,"J-12",48,48,0,4.3,3.8,0
"45",1,16,1982,198203,"1982-06-07 15:00:00",0.5,2.778,16.722,31,56.67833,56.65333,-160.99167,-160.99333,"F-12",70,70,0,4.2,0.8,0
"46",1,16,1983,198303,"1983-06-12 06:00:00",0.5,2.871,16.722,31,56.66017,56.68333,-162.181,-162.19933,"F-10",75,75,0,7.7,2.6,0
"47",1,16,1984,198402,"1984-06-13 09:00:00",0.5,2.815,13.518,10,58.3165,58.3405,-160.7615,-160.74917,"K-12",22,22,0,7.7,7.8,0
"48",1,17,1982,198203,"1982-06-07 18:00:00",0.5,2.778,16.44,10,56.34167,56.32167,-161.00333,-161.02167,"E-12",53,53,0,6.3,2.1,0
"49",1,17,1983,198303,"1983-06-12 09:00:00",0.5,2.945,16.454,31,56.99483,57.01683,-162.19717,-162.1765,"G-10",64,64,0,7.4,2.9,0
"50",1,17,1984,198402,"1984-06-13 15:00:00",0.5,2.741,16.44,10,58.32817,58.32483,-162.03517,-162.08183,"K-10",49,49,0,4.5,3.3,0
"51",1,18,1982,198203,"1982-06-08 07:00:00",0.5,2.778,16.722,31,56.00167,56.025,-162.23167,-162.22667,"D-10",73,73,0,5.8,3,0
"52",1,18,1983,198303,"1983-06-12 12:00:00",0.5,2.834,16.389,10,57.3185,57.3325,-162.16333,-162.1295,"H-10",51,51,0,6.8,4.4,0
"53",1,18,1984,198402,"1984-06-13 17:00:00",0.5,2.741,16.055,10,58.00983,57.98583,-162.1215,-162.13333,"J-10",38,38,0,4.6,2.2,0
"54",1,19,1982,198203,"1982-06-08 10:00:00",0.5,2.778,16.743,31,56.32333,56.34667,-162.205,-162.19667,"E-10",80,80,0,3.5,1.7,0
"55",1,19,1983,198303,"1983-06-12 15:00:00",0.5,2.593,16.404,10,57.65417,57.66283,-162.15867,-162.12317,"I-10",48,48,0,6.6,3.7,0
"56",1,19,1984,198402,"1984-06-14 06:00:00",0.5,2.445,16.44,10,57.67267,57.65667,-162.16367,-162.13883,"I-10",49,49,0,3.9,3.7,0
"57",1,20,1982,198203,"1982-06-08 13:00:00",0.5,2.741,16.722,31,56.65333,56.675,-162.18667,-162.19167,"F-10",75,75,0,4.3,0.2,0
"58",1,20,1983,198303,"1983-06-13 06:00:00",0.5,2.982,16.055,10,57.99067,58.012,-162.12917,-162.1665,"J-10",40,40,0,6.3,4.8,0
"59",1,20,1984,198402,"1984-06-14 11:00:00",0.5,2.797,14.772,10,57.33233,57.31617,-162.16433,-162.12883,"H-10",53,53,0,5.1,2.7,0
"60",1,21,1982,198203,"1982-06-08 16:00:00",0.5,2.556,16.44,31,56.99333,57.015,-162.17333,-162.17333,"G-10",62,62,0,3.5,0.1,0
"61",1,21,1983,198303,"1983-06-13 09:00:00",0.5,2.722,16.404,10,58.32917,58.31833,-162.09533,-162.0535,"K-10",49,49,0,7.8,4.9,0
"62",1,21,1984,198402,"1984-06-14 14:00:00",0.5,2.741,15.466,31,56.99783,56.97717,-162.17767,-162.153,"G-10",64,64,0,5.2,1.4,0
"63",1,22,1982,198203,"1982-06-09 07:00:00",0.5,2.778,16.44,10,57.335,57.35833,-162.15333,-162.13833,"H-10",53,53,0,1.6,0.5,0
"64",1,22,1983,198303,"1983-06-13 16:00:00",0.5,2.685,12.499,10,58.99083,59.00717,-163.34833,-163.31567,"M-08",22,22,0,7.5,3.4,0
"65",1,22,1984,198402,"1984-06-14 17:00:00",0.5,2.759,15.992,31,56.67167,56.649,-162.20767,-162.186,"F-10",75,75,0,6.5,1.1,0
"66",1,23,1982,198203,"1982-06-09 10:00:00",0.5,2.778,16.44,10,57.665,57.69167,-162.13667,-162.13667,"I-10",49,49,0,2.6,1,0
"67",1,23,1983,198303,"1983-06-13 19:00:00",0.5,2.945,15.314,10,58.67233,58.64633,-163.386,-163.38117,"L-08",33,33,0,7.3,5.8,0
"68",1,23,1984,198402,"1984-06-15 06:00:00",0.5,2.834,16.44,31,56.33967,56.31467,-162.206,-162.20833,"E-10",79,79,0,7.4,2.4,0
"69",1,24,1982,198203,"1982-06-09 12:00:00",0.5,2.537,16.389,10,57.985,58.00667,-162.13,-162.12,"J-10",40,40,0,2.1,1.5,0
"70",1,24,1983,198303,"1983-06-14 06:00:00",0.5,2.982,15.8,10,58.353,58.35767,-163.39467,-163.446,"K-08",37,37,0,8.9,4.6,0
"71",1,24,1984,198402,"1984-06-15 09:00:00",0.5,2.852,15.992,31,56.01183,55.98783,-162.25933,-162.264,"D-10",75,75,0,7.1,2.7,0
"72",1,25,1982,198203,"1982-06-09 15:00:00",0.5,2.519,16.389,10,58.31167,58.33333,-162.065,-162.075,"K-10",49,49,0,2.3,1.5,0
"73",1,25,1983,198303,"1983-06-14 10:00:00",0.5,2.759,15.47,10,58.01517,57.99533,-163.38417,-163.36083,"J-08",46,46,0,7.2,4.3,0
"74",1,25,1984,198402,"1984-06-15 15:00:00",0.5,2.722,14.867,31,55.34667,55.32367,-163.42117,-163.43717,"B-08",51,51,0,7.6,3.4,0
"75",1,26,1982,198203,"1982-06-10 06:00:00",0.5,2.648,15.466,10,58.99167,58.97,-163.34667,-163.35833,"M-08",22,22,0,3.6,3,0
"76",1,26,1983,198303,"1983-06-14 13:00:00",0.5,2.926,16.389,10,57.6735,57.6465,-163.38,-163.38033,"I-08",49,49,0,6.4,4.5,0
"77",1,26,1984,198402,"1984-06-15 18:00:00",0.5,2.778,16.055,31,55.65433,55.67933,-163.404,-163.40633,"C-08",82,82,0,7.8,2.7,0
"78",1,27,1982,198203,"1982-06-10 10:00:00",0.5,2.593,16.055,10,58.685,58.66333,-163.36167,-163.35167,"L-08",33,33,0,2.4,1.8,0
"79",1,27,1983,198303,"1983-06-14 16:00:00",0.5,3,16.44,10,57.3395,57.3115,-163.4015,-163.4015,"H-08",55,55,0,8,3.8,0
"80",1,27,1984,198402,"1984-06-16 06:00:00",0.5,2.741,16.44,31,55.99033,56.01433,-163.40217,-163.41183,"D-08",91,91,0,7.8,2.3,0
"81",1,28,1982,198203,"1982-06-10 13:00:00",0.5,2.778,16.055,10,58.34333,58.315,-163.385,-163.37667,"K-08",37,37,0,2,1.1,0
"82",1,28,1983,198303,"1983-06-14 18:00:00",0.5,2.926,16.44,31,57.00633,56.98483,-163.40617,-163.37883,"G-08",68,68,0,8.9,2.6,0
"83",1,28,1984,198402,"1984-06-16 09:00:00",0.5,2.871,16.44,31,56.31933,56.3445,-163.42017,-163.43267,"E-08",90,90,0,7.8,2,0
"84",1,29,1982,198203,"1982-06-10 16:00:00",0.5,2.778,16.389,10,58.01,57.99,-163.39167,-163.36833,"J-08",46,46,0,2,0.7,0
"85",1,29,1983,198303,"1983-06-15 06:00:00",0.5,2.852,16.722,31,56.6795,56.6545,-163.38717,-163.3945,"F-08",77,77,0,8.7,2.2,0
"86",1,29,1984,198402,"1984-06-16 11:00:00",0.5,2.741,16.055,31,56.65067,56.6755,-163.39033,-163.38833,"F-08",79,79,0,6.4,1.2,0
"87",1,30,1982,198203,"1982-06-10 19:00:00",0.5,2.889,16.404,10,57.685,57.66,-163.39167,-163.40667,"I-08",48,48,0,2.2,0.7,0
"88",1,30,1983,198303,"1983-06-15 09:00:00",0.5,2.852,16.908,31,56.34,56.31667,-163.40433,-163.39283,"E-08",88,88,0,8.9,3,0
"89",1,30,1984,198402,"1984-06-16 14:00:00",0.5,2.778,15.688,31,56.98617,57.0105,-163.38633,-163.3905,"G-08",70,70,0,6.2,0.3,0
"90",1,31,1982,198203,"1982-06-11 09:00:00",0.5,2.667,16.44,10,57.345,57.32333,-163.4,-163.39,"H-08",57,57,0,2.9,0.3,0
"91",1,31,1983,198303,"1983-06-15 13:00:00",0.5,2.648,16.908,31,56.00817,55.9855,-163.40083,-163.3975,"D-08",91,91,0,7,3.2,0
"92",1,31,1984,198402,"1984-06-16 16:00:00",0.5,2.797,15.366,10,57.31917,57.34433,-163.3875,-163.394,"H-08",55,55,0,5.4,1.8,0
"93",1,32,1982,198203,"1982-06-11 12:00:00",0.5,2.759,16.701,31,57.01667,56.99333,-163.395,-163.39167,"G-08",70,70,0,3.1,0.5,0
"94",1,32,1983,198303,"1983-06-15 16:00:00",0.5,2.741,16.722,31,55.65417,55.67517,-163.41517,-163.40133,"C-08",82,82,0,9.3,3.1,0
"95",1,32,1984,198402,"1984-06-17 06:00:00",0.5,2.778,14.48,10,57.65367,57.677,-163.3735,-163.36667,"I-08",49,49,0,5.1,3.1,0
"96",1,33,1982,198203,"1982-06-11 15:00:00",0.5,2.741,16.722,31,56.68167,56.66167,-163.38,-163.41,"F-08",77,77,0,5.6,0.3,0
"97",1,33,1983,198303,"1983-06-16 06:00:00",0.5,2.797,16.44,31,55.33117,55.34933,-163.40783,-163.43917,"B-08",53,53,0,8.5,3.7,5.94818556712035
"98",1,33,1984,198402,"1984-06-17 09:00:00",0.5,2.982,14.48,10,58.01167,58.01667,-163.431,-163.393,"J-08",46,46,0,3.8,3.2,0
"99",1,34,1982,198203,"1982-06-11 18:00:00",0.5,2.797,16.933,31,56.34,56.325,-163.39667,-163.435,"E-08",88,88,0,5.4,1.4,0
"100",1,34,1983,198303,"1983-06-16 10:00:00",0.5,2.778,16.711,31,55.32183,55.34033,-163.98233,-164.0125,"B-07",82,82,0,8.3,4.9,51.0036809211578
"101",1,34,1984,198402,"1984-06-17 11:00:00",0.5,2.722,13.887,10,58.32233,58.34783,-163.37367,-163.3795,"K-08",44,44,0,4.1,3.5,0
"102",1,35,1982,198203,"1982-06-12 06:00:00",0.5,2.648,16.933,31,56.005,55.99167,-163.39,-163.425,"D-08",91,91,0,5.5,2.7,4.01439974108013
"103",1,35,1983,198303,"1983-06-16 13:00:00",0.5,2.778,16.933,31,55.64917,55.66933,-164.00717,-164.03517,"C-07",99,99,0,8.9,3.3,0
"104",1,35,1984,198402,"1984-06-17 13:00:00",0.5,2.741,12.499,10,58.65367,58.678,-163.35233,-163.35433,"L-08",33,33,0,4.9,3.8,0
"105",1,36,1982,198203,"1982-06-12 09:00:00",0.5,2.778,16.917,31,55.68333,55.65833,-163.4,-163.40167,"C-08",84,84,0,5.8,2.5,2.34065332230418
"106",1,36,1983,198303,"1983-06-16 16:00:00",0.5,2.797,16.917,31,56.0025,56.0265,-164.0045,-164.00967,"D-07",91,91,0,8.8,3.3,9.72169554232151
"107",1,36,1984,198402,"1984-06-17 16:00:00",0.5,2.815,12.499,10,58.9845,59.00917,-163.35217,-163.3535,"M-08",24,24,0,4.5,4.5,0
"108",1,37,1982,198203,"1982-06-12 12:00:00",0.5,2.815,16.44,31,55.35,55.325,-163.41667,-163.42333,"B-08",55,55,0,5.7,4.4,0
"109",1,37,1983,198303,"1983-06-17 07:00:00",0.5,2.593,16.44,31,55.05917,55.03783,-164.50983,-164.52983,"A-06",62,62,0,7.2,5.7,0
"110",1,37,1984,198402,"1984-06-18 06:00:00",0.5,2.797,12.499,10,59.32417,59.32217,-164.6345,-164.68683,"N-06",22,22,0,6.6,6.8,0
"111",1,38,1982,198203,"1982-06-12 18:00:00",0.5,2.685,16.055,31,55.00833,55.00667,-164.57667,-164.53333,"A-06",59,59,0,5.5,4.5,0
"112",1,38,1983,198303,"1983-06-17 10:00:00",0.5,2.889,16.941,31,55.3215,55.34917,-164.579,-164.58433,"B-06",104,104,0,9.2,4.6,34.483418957569
"113",1,38,1984,198402,"1984-06-18 09:00:00",0.5,2.852,12.747,10,58.977,58.94817,-164.7175,-164.7255,"M-06",29,29,0,5,4.9,0
"114",1,39,1982,198203,"1982-06-13 06:00:00",0.5,2.704,16.933,31,55.32667,55.34333,-164.59,-164.56,"B-06",106,106,0,5.4,3.1,37.9605917722204
"115",1,39,1983,198303,"1983-06-17 13:00:00",0.5,2.722,16.933,31,55.65483,55.67783,-164.5775,-164.59583,"C-06",101,101,0,8.7,3.5,19.7038355336351
"116",1,39,1984,198402,"1984-06-18 12:00:00",0.5,2.834,13.73,10,58.68,58.65617,-164.65717,-164.63967,"L-06",42,42,0,6.7,4.8,0
"117",1,40,1982,198203,"1982-06-13 09:00:00",0.5,2.648,16.933,31,55.66,55.68333,-164.58,-164.59167,"C-06",101,101,0,5.5,2.2,6.01573060615079
"118",1,40,1983,198303,"1983-06-17 16:00:00",0.5,2.908,16.933,31,55.99083,56.0145,-164.57033,-164.57267,"D-06",95,95,0,8.6,2.8,20.7924847967882
"119",1,40,1984,198402,"1984-06-18 14:00:00",0.5,2.797,14.48,10,58.3465,58.32267,-164.63917,-164.63017,"K-06",46,46,0,5,3.4,0
"120",1,41,1982,198203,"1982-06-13 12:00:00",0.5,2.889,16.933,31,55.985,56.00667,-164.59167,-164.57833,"D-06",97,97,0,5.6,1.7,0.613253173784481
"121",1,41,1983,198303,"1983-06-18 06:00:00",0.5,2.834,16.933,31,56.326,56.30967,-164.577,-164.54483,"E-06",90,90,0,8.5,2.4,0
"122",1,41,1984,198402,"1984-06-18 17:00:00",0.5,2.797,14.48,10,58.013,57.98817,-164.62533,-164.63067,"J-06",46,46,0,4.1,4,0
"123",1,42,1982,198203,"1982-06-13 15:00:00",0.5,2.648,16.933,31,56.31833,56.33833,-164.58167,-164.59333,"E-06",91,91,0,5.4,1.8,0
"124",1,42,1983,198303,"1983-06-18 10:00:00",0.5,2.871,16.695,31,56.656,56.67167,-164.59,-164.6275,"F-06",77,77,0,8.2,1.6,0
"125",1,42,1984,198402,"1984-06-19 06:00:00",0.5,2.759,14.867,10,57.67633,57.653,-164.63133,-164.6185,"I-06",55,55,0,6.4,1.7,0
"126",1,43,1982,198203,"1982-06-13 17:00:00",0.5,2.63,16.933,31,56.66,56.68,-164.61167,-164.625,"F-06",79,79,0,6.1,0.3,0
"127",1,43,1983,198303,"1983-06-18 13:00:00",0.5,2.685,16.684,31,56.9955,57.00483,-164.5905,-164.632,"G-06",71,71,0,8.2,1.8,0
"128",1,43,1984,198402,"1984-06-19 09:00:00",0.5,2.908,15.688,31,57.344,57.318,-164.6485,-164.65183,"H-06",68,68,0,7,1.5,0
"129",1,44,1982,198203,"1982-06-13 20:00:00",0.5,2.778,16.753,31,56.99,57.01333,-164.605,-164.59833,"G-06",73,73,0,4.9,0.2,0
"130",1,44,1983,198303,"1983-06-18 15:00:00",0.5,2.926,16.695,31,57.32983,57.34817,-164.6015,-164.63433,"H-06",68,68,0,8,2.6,0
"131",1,44,1984,198402,"1984-06-19 12:00:00",0.5,2.722,16.055,31,57.01017,56.98667,-164.59567,-164.58633,"G-06",73,73,0,7.8,0.1,0
"132",1,45,1982,198203,"1982-06-14 06:00:00",0.5,2.648,16.722,31,57.325,57.34833,-164.61667,-164.615,"H-06",70,70,0,4,0.5,0
"133",1,45,1983,198303,"1983-06-19 06:00:00",0.5,2.889,16.44,10,57.65733,57.68117,-164.60767,-164.62833,"I-06",55,55,0,7.2,3.2,0
"134",1,45,1984,198402,"1984-06-19 14:00:00",0.5,2.722,16.055,31,56.68,56.65633,-164.6025,-164.59517,"F-06",79,79,0,8.9,0.4,0
"135",1,46,1982,198203,"1982-06-14 09:00:00",0.5,2.778,16.44,10,57.65667,57.68167,-164.62,-164.62167,"I-06",57,57,0,3.7,0.4,0
"136",1,46,1983,198303,"1983-06-19 10:00:00",0.5,2.759,16.404,10,57.997,57.99867,-164.65267,-164.6075,"J-06",46,46,0,6.5,4.8,0
"137",1,46,1984,198402,"1984-06-19 17:00:00",0.5,2.759,16.44,31,56.34567,56.32083,-164.59017,-164.59267,"E-06",90,90,0,10.1,1.5,0
"138",1,47,1982,198203,"1982-06-14 12:00:00",0.5,2.685,16.404,10,57.99,58.01333,-164.625,-164.63167,"J-06",48,48,0,2.4,0.8,0
"139",1,47,1983,198303,"1983-06-19 13:00:00",0.5,2.871,16.389,10,58.33783,58.33567,-164.65933,-164.617,"K-06",46,46,0,7.5,4.5,0
"140",1,47,1984,198402,"1984-06-20 06:00:00",0.5,2.741,16.542,31,56.01067,55.98617,-164.58733,-164.58767,"D-06",97,97,0,8.9,2.1,0
"141",1,48,1982,198203,"1982-06-14 14:00:00",0.5,2.778,16.389,10,58.31833,58.34333,-164.63,-164.635,"K-06",46,46,0,3.5,1.1,0
"142",1,48,1983,198303,"1983-06-19 16:00:00",0.5,2.722,16.055,10,58.65583,58.67967,-164.65983,-164.65383,"L-06",40,40,0,4.9,4.6,0
"143",1,48,1984,198402,"1984-06-20 09:00:00",0.5,2.889,16.586,31,55.67717,55.65167,-164.59017,-164.59483,"C-06",99,99,0,9.5,3.1,182.514047979329
"144",1,49,1982,198203,"1982-06-14 17:00:00",0.5,2.685,16.389,10,58.65167,58.675,-164.65167,-164.64333,"L-06",40,40,0,3.6,1.5,0
"145",1,49,1983,198303,"1983-06-20 06:00:00",0.5,2.908,16.055,10,58.9865,59.01183,-164.64067,-164.65017,"M-06",29,29,0,7.2,6.9,0
"146",1,49,1984,198402,"1984-06-20 12:00:00",0.5,2.759,16.722,31,55.34417,55.31983,-164.58967,-164.586,"B-06",104,104,0,9.6,4.8,124.597662328666
"147",1,50,1982,198203,"1982-06-15 06:00:00",0.5,2.556,15.466,10,58.98833,59.005,-164.63667,-164.66167,"M-06",29,29,0,3.2,3,0
"148",1,50,1983,198303,"1983-06-20 09:00:00",0.5,2.797,15.433,10,59.31883,59.33033,-164.64317,-164.68583,"N-06",24,24,0,9.4,9,0
"149",1,50,1984,198402,"1984-06-20 15:00:00",0.5,2.741,15.466,31,55.01567,55.01633,-164.534,-164.57617,"A-06",60,60,0,9.6,5,0
"150",1,51,1982,198203,"1982-06-15 09:00:00",0.5,2.778,15.466,10,59.32,NA,-164.655,NA,"N-06",22,22,0,5.1,5.1,0
"151",1,51,1983,198303,"1983-06-20 14:00:00",0.5,2.648,15.466,20,59.6625,59.67083,-165.93117,-165.9745,"O-04",24,24,0,8.4,8.2,0
"152",1,51,1984,198402,"1984-06-21 06:00:00",0.5,2.685,16.933,50,54.9845,54.97583,-165.769,-165.81133,"A-04",134,134,0,7,4.2,14.8205570363949
"153",1,52,1982,198203,"1982-06-15 14:00:00",0.5,2.834,14.48,20,59.66167,59.68667,-165.95167,-165.93667,"O-04",24,24,0,6.3,3.6,0
"154",1,52,1983,198303,"1983-06-21 07:00:00",0.5,2.871,15.466,20,59.345,59.32033,-165.94183,-165.95467,"N-04",26,26,0,6.9,6.8,0
"155",1,52,1984,198402,"1984-06-21 10:00:00",0.5,2.667,16.933,50,55.3225,55.34633,-165.79433,-165.79883,"B-04",124,124,0,7.3,3.3,18.351290804884
"156",1,53,1982,198203,"1982-06-16 09:00:00",0.5,2.648,15.466,20,59.34167,59.31667,-165.96167,-165.965,"N-04",26,26,0,3.2,3,0
"157",1,53,1983,198303,"1983-06-21 10:00:00",0.5,2.834,15.97,20,59.01383,58.98783,-165.9495,-165.944,"M-04",31,31,0,5.9,5.5,0
"158",1,53,1984,198402,"1984-06-21 12:00:00",0.5,2.741,16.933,50,55.65483,55.676,-165.79983,-165.8235,"C-04",119,119,0,7.4,3.3,0
"159",1,54,1982,198203,"1982-06-16 12:00:00",0.5,2.704,15.466,20,59.01667,58.99333,-165.92833,-165.93667,"M-04",31,31,0,2.8,2.2,0
"160",1,54,1983,198303,"1983-06-21 12:00:00",0.5,2.685,16.055,10,58.6755,58.65533,-165.95967,-165.93617,"L-04",37,37,0,5.9,4.7,0
"161",1,54,1984,198402,"1984-06-21 15:00:00",0.5,2.778,16.811,31,55.992,56.01383,-165.7715,-165.79283,"D-04",112,112,0,8.4,2.6,42.7579581309147
"162",1,55,1982,198203,"1982-06-16 15:00:00",0.5,2.611,16.055,10,58.68167,58.66,-165.91833,-165.93,"L-04",38,38,0,2.8,1.7,0
"163",1,55,1983,198303,"1983-06-21 15:00:00",0.5,2.797,16.389,10,58.35033,58.3265,-165.923,-165.92333,"K-04",46,46,0,5.9,3.7,0
